NumberFrom,NumberTo,OwnerId,RegionCode,MNC,RowCount
9018990000,9018999999,mMTT,77,42,
9019000000,9019099999,mTELE2,77,20,
9019100000,9019109999,mRTK,50,20,
9019110000,9019119999,mTELE2,26,20,
9019120000,9019219999,mLYCAMOBILE,77,13,
9019220000,9019229999,mMTT,78,42,
9019230000,9019239999,mTELE2,17,20,
9019240000,9019289999,mLYCAMOBILE,78,13,
9019290000,9019299999,mTELE2,44,20,
9019300000,9019309999,mTELE2,30,20,
9019310000,9019313999,mGASPROM,77,41,
9019330000,9019339999,mTELE2,24,20,
9019340000,9019349999,mTELE2,28,39,
9019350000,9019359999,mTELE2,51,20,
9019370000,9019379999,mTELE2,66,20,
9019380000,9019389999,mTELE2,28,39,
9019400000,9019409999,mTELE2,64,20,
9019410000,9019419999,mTELE2,37,20,
9019420000,9019439999,mTELE2,64,20,
9019440000,9019449999,mTELE2,33,20,
9019450000,9019469999,mMTT,75,42,
9019470000,9019479999,mTELE2,74,20,
9019490000,9019499999,mTELE2,67,20,
9019500000,9019509999,mTELE2,67,39,
9019520000,9019529999,mMTS,03,01,
9019540000,9019559999,mTELE2,27,20,
9019560000,9019569999,mTELE2,57,20,
9019570000,9019579999,mTELE2,18,20,
9019580000,9019589999,mAPEKS,75,39,
9019610000,9019619999,mTELE2,11,20,
9019620000,9019624999,mTELE2,10,09,
9019625000,9019626999,mTELE2,10,39,
9019627000,9019629999,mTELE2,10,09,
9019630000,9019639999,mTELE2,42,20,
9019640000,9019649999,mTELE2,55,20,
9019650000,9019659999,mTELE2,38,09,
9019660000,9019669999,mTELE2,32,20,
9019670000,9019674999,mTELE2,61,09,
9019675000,9019676999,mTELE2,61,39,
9019677000,9019679999,mTELE2,61,09,
9019680000,9019689999,mTELE2,53,20,
9019690000,9019694999,mTELE2,38,09,
9019695000,9019696999,mTELE2,38,20,
9019697000,9019699999,mTELE2,38,09,
9019700000,9019739999,mTELE2,78,20,
9019740000,9019749999,mTELE2,42,20,
9019750000,9019799999,mTELE2,78,20,
9019810000,9019819999,mTELE2,63,20,
9019820000,9019829999,mTELE2,77,20,
9019830000,9019839999,mTELE2,77,20,
9019840000,9019849999,mTELE2,59,20,
9019850000,9019869999,mTELE2,76,20,
9019870000,9019879999,mTELE2,68,20,
9019880000,9019889999,mTELE2,70,20,
9019890000,9019899999,mTELE2,69,20,
9019900000,9019909999,mTELE2,34,20,
9019910000,9019919999,mTELE2,35,20,
9019920000,9019929999,mTELE2,36,20,
9019930000,9019939999,mTELE2,39,20,
9019940000,9019949999,mTELE2,76,20,
9019950000,9019959999,mTELE2,43,20,
9019960000,9019969999,mTELE2,48,20,
9019970000,9019979999,mTELE2,76,20,
9019980000,9019989999,mTELE2,72,20,
9019990000,9019999999,mTELE2,76,20,
9020000000,9020099999,mTELE2,74,20,
9020100000,9020149999,mTELE2,19,20,
9020150000,9020199999,mTELE2,12,20,
9020200000,9020214999,mRTK,47,20,
9020215000,9020289999,mRTK,75,20,
9020290000,9020299999,mRTK,81,20,
9020300000,9020314999,mRTK,27,20,
9020315000,9020324999,mRTK,73,20,
9020325000,9020328999,mRTK,83,20,
9020329000,9020339999,mRTK,38,20,
9020340000,9020350999,mRTK,10,20,
9020351000,9020368999,mRTK,53,20,
9020369000,9020379999,mRTK,42,20,
9020380000,9020388999,mRTK,61,20,
9020389000,9020399999,mRTK,55,20,
9020400000,9020499999,mTELE2,65,20,
9020500000,9020799999,mBEELINE,28,99,
9020800000,9020899999,mMTS,60,01,
9020900000,9020999999,mTELE2,37,39,
9021000000,9021099999,mTELE2,12,20,
9021100000,9021199999,mMEGAFON,33,02,
9021200000,9021239999,mTELE2,74,20,
9021240000,9021249999,mTELE2,12,20,
9021250000,9021299999,mTELE2,74,20,
9021300000,9021399999,mTELE2,53,20,
9021400000,9021469999,mTELE2,22,20,
9021470000,9021499999,mTELE2,55,20,
9021500000,9021519999,mTELE2,67,20,
9021520000,9021549999,mTELE2,64,20,
9021550000,9021569999,mTELE2,67,20,
9021570000,9021599999,mTELE2,64,20,
9021600000,9021699999,mTELE2,04,20,
9021700000,9021799999,mTELE2,41,20,
9021800000,9021849999,mTELE2,64,20,
9021850000,9021879999,mTELE2,64,20,
9021880000,9021889999,mTELE2,67,20,
9021890000,9021899999,mTELE2,64,20,
